name,skipass,rank(5),altmin(m),altmax(m),totalpistes(km),bluepistes(km),redpistes(km),blackpistes(km),lifts,lift_Aerial_tramway/reversible_ropeway,lift_Circulating_ropeway/gondola_lift,lift_Combined_installation_(gondola_and_chair),lift_Chairlift,lift_T-bar_lift/platter/button_lift_,lift_Rope_tow/beginner_lift,lift_Sunkid_Moving_Carpet,lift_Funicular,lift_People_mover,lift_Cog_railway,lift_Snow_caterpillars_for_Cat-skiing,season_open,season_close,lattitude,longitude
Hammerbodenlift – Großreifling (Landl),,,500,520,0.4,0.4,0,0,2,,,,,,2,,,,,,,,,
Hartmannsdorf,,,345,405,0.4,0.4,0,0,2,,,,,,,,,,,,,,50.8866383,12.8009793
Heumöser – Ebnit (Dornbirn),,,1070,1250,3,0,3,0,2,,,,,,,,,,,,,,47.3452657,9.7440418
Hochbärneck – St. Anton an der Jeßnitz,,,800,1100,5,3,2,0,2,,,,,,,,,,,,,,47.920833,15.2075
Jöchelspitze – Bach,,,1200,1800,5,2.5,2.5,0,2,,,,1,,1,,,,,,2017-12-22,2018-04-02,47.2676309,10.3834984
Kirchbach (Rappottenstein),,,680,750,0.7,0.7,0,0,2,,,,,,,,,,,,,,48.5375859,15.0512583
Krähenberg – Sibratsgfäll,,,900,1100,2,1,1,0,2,,,,,,,,,,,,,,47.41238,10.04323
Mönchdorf (Königswiesen),,,630,700,1,1,0,0,2,,,,,,,,,,,,,,48.36011,14.79367
Prägraten am Großvenediger,,,1312,1440,2,1,0.5,0.5,2,,,,,,,,,,,,,,47.0158273,12.3809547
Rettenbach (Bernstein),,,452,568,0.5,0.5,0,0,2,,,,,,2,,,,,,,,47.40848,16.24289
Schneiderkopf – Buch,,,725,900,1.5,1,0.5,0,2,,,,,,,,,,,,,,47.4811041,9.8178696
Schuttannen – Hohenems,,,1150,1320,10,3,7,0,2,,,,,,,,,,,,,,47.3724,9.73174
Sonntag-Stein,,,,1300,7,4,3,0,2,1,,,1,,,1,,,,,2017-12-16,2018-04-02,47.23235,9.91826
Spitzeralm – Sankt Lorenzen bei Knittelfeld,,,920,1030,2,1,0.5,0.5,2,,,,,,,,,,,,,,47.2780074,14.9854822
Wildwiese – Miesenbach bei Birkfeld,,,1100,1256,2,1,1,0,2,,,,,,,,,,,,,,47.3880097,15.7702543
Ahornlift,,,1220,1250,0.5,0.5,0,0,1,,,,,1,,,,,,,,,47.3321951,10.1613774
Archenstadel – Rinn,,2.4,918,1004,1,1,0,0,1,,,,,1,,1,,,,,,,,
Arnreit,,,530,570,0.5,0.5,0,0,1,,,,,1,,,,,,,,,48.5258601,13.9960133
Baienberg – Reuthe,,,650,810,0.7,0,0.3,0.4,1,,,,,1,,,,,,,,,47.3794004,9.8849437
Birgitz,,,875,940,1,1,0,0,1,,,,,1,,,,,,,,,47.2354522,11.2995002
Böglerlift – Alpbach,,,985,1040,0.3,0.3,0,0,1,,,,,1,,,,,,,,,,
Brandlift – Scharnitz,,,964,1050,1,1,0,0,1,,,,,1,,,,,,,,,47.382137,11.262617
Brenneralm – Breitenfurt bei Wien,,,385,475,0.8,0.8,0,0,1,,,,,1,,,,,,,,,48.129957,16.144849
Bruggen (Greifenburg),,,590,660,0.3,0.3,0,0,1,,,,,1,,,,,,,,,46.7325026,13.1927632
Buchsteinlift – Reiflingviertel (St. Gallen),,,530,600,1,0,1,0,1,,,,,1,,,,,,,,,,
