country,resort,name,year,month,date,lower,upper
Austria,Ischgl,Ischgl,2015,4,2015-04-01,14,147
Austria,Ischgl,Ischgl,2016,4,2016-04-01,4,74
Austria,Soll,Soll,2013,11,2013-11-01,0,0
Austria,Soll,Soll,2015,11,2015-11-01,0,2
Austria,Soll,Soll,2016,11,2016-11-01,0,0
Austria,Soll,Soll,2013,12,2013-12-01,18,35
Austria,Soll,Soll,2014,12,2014-12-01,30,56
Austria,Soll,Soll,2015,12,2015-12-01,10,28
Austria,Soll,Soll,2016,12,2016-12-01,20,38
Austria,Soll,Soll,2014,1,2014-01-01,24,52
Austria,Soll,Soll,2015,1,2015-01-01,43,64
Austria,Soll,Soll,2016,1,2016-01-01,34,53
Austria,Soll,Soll,2017,1,2017-01-01,31,38
Austria,Soll,Soll,2014,2,2014-02-01,40,83
Austria,Soll,Soll,2015,2,2015-02-01,66,87
Austria,Soll,Soll,2016,2,2016-02-01,53,63
Austria,Soll,Soll,2014,3,2014-03-01,23,53
Austria,Soll,Soll,2015,3,2015-03-01,40,64
Austria,Soll,Soll,2016,3,2016-03-01,48,59
Austria,Soll,Soll,2014,4,2014-04-01,0,0
Austria,Soll,Soll,2015,4,2015-04-01,6,17
Austria,Soll,Soll,2016,4,2016-04-01,1,2
Austria,Lech,Lech,2013,11,2013-11-01,0,0
Austria,Lech,Lech,2015,11,2015-11-01,2,3
Austria,Lech,Lech,2016,11,2016-11-01,0,0
Austria,Lech,Lech,2013,12,2013-12-01,43,56
Austria,Lech,Lech,2014,12,2014-12-01,66,96
Austria,Lech,Lech,2015,12,2015-12-01,30,35
Austria,Lech,Lech,2016,12,2016-12-01,4,26
Austria,Lech,Lech,2014,1,2014-01-01,72,74
Austria,Lech,Lech,2015,1,2015-01-01,58,108
Austria,Lech,Lech,2016,1,2016-01-01,89,107
Austria,Lech,Lech,2017,1,2017-01-01,36,57
Austria,Lech,Lech,2014,2,2014-02-01,100,115
Austria,Lech,Lech,2015,2,2015-02-01,96,170
Austria,Lech,Lech,2016,2,2016-02-01,123,182
Austria,Lech,Lech,2014,3,2014-03-01,93,107
Austria,Lech,Lech,2015,3,2015-03-01,82,202
Austria,Lech,Lech,2016,3,2016-03-01,116,202
Austria,Lech,Lech,2014,4,2014-04-01,24,48
Austria,Lech,Lech,2015,4,2015-04-01,48,170
Austria,Lech,Lech,2016,4,2016-04-01,33,111
Austria,Kuhtai,Kuhtai,2013,11,2013-11-01,0,0
Austria,Kuhtai,Kuhtai,2015,11,2015-11-01,10,16
Austria,Kuhtai,Kuhtai,2016,11,2016-11-01,2,3
Austria,Kuhtai,Kuhtai,2013,12,2013-12-01,32,43
Austria,Kuhtai,Kuhtai,2014,12,2014-12-01,43,80
Austria,Kuhtai,Kuhtai,2015,12,2015-12-01,13,20
Austria,Kuhtai,Kuhtai,2016,12,2016-12-01,14,19
Austria,Kuhtai,Kuhtai,2014,1,2014-01-01,65,85
Austria,Kuhtai,Kuhtai,2015,1,2015-01-01,36,66
Austria,Kuhtai,Kuhtai,2016,1,2016-01-01,48,53
Austria,Kuhtai,Kuhtai,2017,1,2017-01-01,35,40
Austria,Kuhtai,Kuhtai,2014,2,2014-02-01,77,97
Austria,Kuhtai,Kuhtai,2015,2,2015-02-01,77,106
Austria,Kuhtai,Kuhtai,2016,2,2016-02-01,78,84
Austria,Kuhtai,Kuhtai,2014,3,2014-03-01,98,118
Austria,Kuhtai,Kuhtai,2015,3,2015-03-01,90,115
Austria,Kuhtai,Kuhtai,2016,3,2016-03-01,103,108
Austria,Kuhtai,Kuhtai,2014,4,2014-04-01,55,78
